"species","vlength","gear","port","mval_mean","mprice_mean","mkg_mean"
"ROL","VL1218","OTB","PORTO ERCOLE",34.7004555555556,0.195521680112418,69.4
"ROL","VL1218","OTB","PORTO SANTO STEFANO",6.67316452991453,0.037600323098542,13.3461538461538
"ROL","VL1218","OTB","PORTOFINO",86.7511388888889,0.488804200281046,173.5
"SPC","VL2440","OTB","ANZIO",3.19012351190476,0.0518667565710965,4.42559523809524
"SPC","VL2440","OTB","CIVITAVECCHIA",6.87103525641026,0.111713014153131,9.53205128205128
"SPC","VL2440","OTB","LA SPEZIA",44.6617291666667,0.726134591995352,61.9583333333333
"SPC","VL2440","OTB","PORTO SANTO STEFANO",3.43551762820513,0.0558565070765655,4.76602564102564
"SPC","VL2440","OTB","PORTOFERRAIO",37.2181076388889,0.605112159996126,51.6319444444444
"WHB","VL1218","OTB","CHIAVARI",331.45846,2.12973585028609,95.66
"WHB","VL1218","OTB","FIUMICINO",34.5269229166667,0.221847484404801,9.96458333333333
"WHB","VL1218","OTB","GENOVA",552.430766666667,3.54955975047681,159.433333333333
"WHB","VL1218","OTB","IMPERIA",138.107691666667,0.887389937619203,39.8583333333333
"WHB","VL1218","OTB","LIVORNO",368.287177777778,2.36637316698454,106.288888888889
"WHB","VL1218","OTB","PIOMBINO",552.430766666667,3.54955975047681,159.433333333333
"WHB","VL1218","OTB","PORTO ERCOLE",220.972306666667,1.41982390019073,63.7733333333333
"WHB","VL1218","OTB","PORTO SANTO STEFANO",42.4946743589744,0.273043057728986,12.2641025641026
"WHB","VL1218","OTB","PORTOFINO",552.430766666667,3.54955975047681,159.433333333333
